col_name,0,1,2,percentage_nonnull
ResponseID,1,2,3,100.0
PIN,5,61,833,100.0
Timestamp,20171004,20171019,20171020,100.0
GRANT_ID,12-ZZ-026,13-AZ-087,18-FL-099,100.0
LEGAL_NAME,Northwest Florida Comprehensive Services For Children Inc,American National Red Cross Southern Arizona Chapter,Society of St. Vincent de Paul South Pinellas Inc.,100.0
FNAME,,,,0.0
PHONE,,,,0.0
REMAIL,,,,0.0
QA,1.0,1.0,2.0,98.19
QB,1.0,1.0,1.0,99.42
QC,1.0,1.0,1.0,98.94
Q1,5,5,3,100.0
Q2,1.0,1.0,1.0,97.45
Q2A,1.0,1.0,1.0,72.16
Q3_1_A,1.0,1.0,1.0,95.16
Q3_1_B,1.0,1.0,1.0,93.34
Q3_1_C,5.0,5.0,3.0,75.81
Q3_2_A,1.0,2.0,2.0,93.65
Q3_2_B,1.0,2.0,2.0,92.33
Q3_2_C,5.0,,,42.66
Q3_3_1_A,2.0,2.0,2.0,89.83
Q3_3_2_A,2.0,2.0,1.0,86.49
Q3_3_3_A,2.0,2.0,2.0,86.47
Q3_3_4_A,1.0,2.0,2.0,86.56
Q3_3_5_A,2.0,2.0,2.0,86.96
Q3_3_6_A,1.0,2.0,2.0,85.83
Q3_3_7_A,2.0,2.0,2.0,85.05
Q3_3_8_A,1.0,2.0,2.0,87.4
Q3_3_1_B,2.0,2.0,2.0,87.29
Q3_3_2_B,2.0,2.0,2.0,84.89
Q3_3_3_B,2.0,2.0,2.0,84.8
Q3_3_4_B,1.0,2.0,2.0,84.68
Q3_3_5_B,2.0,2.0,2.0,84.7
Q3_3_6_B,1.0,2.0,2.0,84.06
Q3_3_7_B,2.0,2.0,2.0,83.49
Q3_3_8_B,1.0,2.0,2.0,84.92
Q3_3_1_C,,,,31.71
Q3_3_2_C,,,,30.11
Q3_3_3_C,,,,30.37
Q3_3_4_C,5.0,,,24.85
Q3_3_5_C,,,,34.06
Q3_3_6_C,5.0,,,12.37
Q3_3_7_C,,,,2.91
Q3_3_8_C,5.0,,,43.15
Q3_4_1_A,2.0,1.0,1.0,86.86
Q3_4_2_A,2.0,1.0,2.0,84.97
Q3_4_3_A,2.0,1.0,1.0,85.08
Q3_4_4_A,2.0,2.0,1.0,84.53
Q3_4_5_A,2.0,1.0,1.0,84.62
Q3_4_1_B,2.0,1.0,1.0,85.75
Q3_4_2_B,2.0,1.0,2.0,83.94
Q3_4_3_B,2.0,1.0,1.0,84.07
Q3_4_4_B,2.0,2.0,1.0,83.52
Q3_4_5_B,2.0,1.0,1.0,83.48
Q3_4_1_C,,5.0,3.0,60.99
Q3_4_2_C,,5.0,,31.34
Q3_4_3_C,,5.0,3.0,43.97
Q3_4_4_C,,,3.0,14.54
Q3_4_5_C,,5.0,3.0,21.9
Q4,3.0,2.0,2.0,86.04
Q5,2.0,2.0,1.0,85.24
Q6,1.0,1.0,3.0,85.82
Q7,1.0,2.0,2.0,84.39
Q8,1.0,1.0,3.0,84.88
Q9,,,,0.0
Q10,,,,0.0
Q11,,,,0.0
DateRange,2017-10-31 00:00:00,2017-10-31 00:00:00,2017-10-31 00:00:00,100.0
